,deaths,dateRep
5242,0,2020-02-26
5658,0,2020-02-26
1599,0,2020-02-26
13993,0,2020-02-26
2688,0,2020-02-26
7035,3,2020-02-26
6782,0,2020-02-26
3150,52,2020-02-26
14980,0,2020-02-26
7597,5,2020-02-26
13863,0,2020-02-26
15163,0,2020-02-26
13506,0,2020-02-26
10262,0,2020-02-26
4335,0,2020-02-26
9474,0,2020-02-26
12163,0,2020-02-26
15162,0,2020-02-27
13505,0,2020-02-27
2122,0,2020-02-27
12162,0,2020-02-27
10261,0,2020-02-27
4334,0,2020-02-27
14979,0,2020-02-27
7596,1,2020-02-27
1598,0,2020-02-27
9473,0,2020-02-27
2687,0,2020-02-27
7034,4,2020-02-27
5241,1,2020-02-27
13862,0,2020-02-27
6781,0,2020-02-27
13992,0,2020-02-27
3149,29,2020-02-27
5657,0,2020-02-27
13861,0,2020-02-28
1597,0,2020-02-28
2686,0,2020-02-28
9472,0,2020-02-28
5240,0,2020-02-28
7033,7,2020-02-28
2121,0,2020-02-28
3148,44,2020-02-28
5656,0,2020-02-28
4333,0,2020-02-28
12161,0,2020-02-28
7595,5,2020-02-28
6780,0,2020-02-28
13991,0,2020-02-28
10260,0,2020-02-28
15161,0,2020-02-28
14978,0,2020-02-28
13504,0,2020-02-28
13990,0,2020-02-29
9471,0,2020-02-29
6779,0,2020-02-29
15160,0,2020-02-29
1596,0,2020-02-29
3147,47,2020-02-29
14977,0,2020-02-29
13860,0,2020-02-29
10259,0,2020-02-29
13503,0,2020-02-29
4332,0,2020-02-29
5239,0,2020-02-29
7594,4,2020-02-29
12160,0,2020-02-29
7032,8,2020-02-29
2120,0,2020-02-29
2685,0,2020-02-29
5655,0,2020-02-29
12159,0,2020-03-01
3146,35,2020-03-01
14976,0,2020-03-01
7593,8,2020-03-01
13502,0,2020-03-01
6778,0,2020-03-01
15159,1,2020-03-01
5238,0,2020-03-01
9470,0,2020-03-01
2684,0,2020-03-01
5654,0,2020-03-01
4331,0,2020-03-01
13989,0,2020-03-01
1595,0,2020-03-01
10258,0,2020-03-01
2119,0,2020-03-01
7031,9,2020-03-01
13859,0,2020-03-01
2118,0,2020-03-02
15158,1,2020-03-02
13858,0,2020-03-02
5653,0,2020-03-02
12158,0,2020-03-02
9469,0,2020-03-02
7030,11,2020-03-02
13988,0,2020-03-02
2683,0,2020-03-02
1594,0,2020-03-02
10257,0,2020-03-02
4330,0,2020-03-02
14975,0,2020-03-02
7592,6,2020-03-02
3145,42,2020-03-02
13501,0,2020-03-02
5237,0,2020-03-02
6777,0,2020-03-02
13500,0,2020-03-03
10256,0,2020-03-03
6776,0,2020-03-03
5652,0,2020-03-03
7591,17,2020-03-03
14974,0,2020-03-03
12157,0,2020-03-03
13987,0,2020-03-03
7029,12,2020-03-03
2682,0,2020-03-03
15157,4,2020-03-03
4329,0,2020-03-03
2117,0,2020-03-03
1593,0,2020-03-03
3144,32,2020-03-03
13857,0,2020-03-03
5236,1,2020-03-03
14973,0,2020-03-04
7028,11,2020-03-04
6775,0,2020-03-04
13986,0,2020-03-04
2681,0,2020-03-04
10255,0,2020-03-04
1592,0,2020-03-04
12156,0,2020-03-04
2116,0,2020-03-04
15156,3,2020-03-04
13856,0,2020-03-04
